id,title,classification,active,source_status,flags,audit_reason,source_category
procedure-44,Primary/Alternate email on Portal Account Not Receiving e-Service,Troubleshooting,True,manager-provided,,Diagnostic or remediation steps for a technical symptom.,Accounts & Registration
procedure-45,“Stuck” and unable to complete filing,Troubleshooting,True,manager-provided,,Diagnostic or remediation steps for a technical symptom.,Technical Troubleshooting
procedure-46,Closing a Retired Attorney’s E-portal Account,Quick message,True,manager-provided,,Reusable customer-facing or Ivanti wording rather than a staff rule or procedure.,Accounts & Registration
procedure-47,Uploading issues,Troubleshooting,False,manager-provided,conflicting; duplicate,Conflicts internally on the filename limit (32 versus 36 characters) and duplicates the curated upload troubleshooting guidance.,Documents & Uploads
procedure-48,Uploaded verbiage/name does not match the document uploaded,Troubleshooting,True,manager-provided,,Diagnostic or remediation steps for a technical symptom.,Documents & Uploads
procedure-49,When trying to resubmit a filing that was in the Correction Queue- but Payment wont process,Troubleshooting,True,review-pending,review-pending; internal routing,Diagnostic or remediation steps for a technical symptom.,Payments & Fees
procedure-50,Batch Filing Large quantity of filings,Reference note,True,manager-provided,,"Explanatory facts, limits, definitions, or background information rather than a workflow.",Filing Workflow
procedure-51,Microsoft Internet Explorer going obsolete:,Reference note,False,manager-provided,stale; mixed,Obsolete Internet Explorer notice combined with unrelated court-record access language.,Filing Workflow
procedure-52,Icons/Symbols- Red Stop Sign- Locked Files,Quick message,True,manager-provided,,Reusable customer-facing or Ivanti wording rather than a staff rule or procedure.,Accounts & Registration
procedure-53,Broward & Miami Dade Cases Summons on Certain Types of Cases,County note,True,county-specific,county-specific; current-confirmation,County-specific behavior or filing note that requires current confirmation.,Cases & Docket
procedure-54,Adding case party to existing- Miami,County note,False,county-specific,county-specific; duplicate,Duplicate Miami case-party note; procedure-127 is retained as the cleaner county note.,Cases & Docket
procedure-55,Watermarked Copies,Quick message,True,manager-provided,,Reusable customer-facing or Ivanti wording rather than a staff rule or procedure.,Documents & Uploads
procedure-56,When case party's names do not show up it is for 1 of the following reasons:,Reference note,True,manager-provided,,"Explanatory facts, limits, definitions, or background information rather than a workflow.",Cases & Docket
procedure-57,Unable to Load Webpage/Timing Out,Known issue,False,manager-provided,,Merged into the existing timeout/slowness Known Issue card.,Filing Workflow
procedure-58,How do I get a PDF out of XFA format?,Troubleshooting,True,manager-provided,,Diagnostic or remediation steps for a technical symptom.,Documents & Uploads
procedure-59,Origin Key Errors:,Known issue,False,review-pending,review-pending; duplicate,Merged into the existing Origin Key Known Issue card.,Technical Troubleshooting
procedure-60,Looking up the EPTL# in the Organization account (For the Admin of the account),Quick message,True,manager-provided,,Reusable customer-facing or Ivanti wording rather than a staff rule or procedure.,Accounts & Registration
procedure-62,Self Rep/Attorney needs to update address/email/phone information,Quick message,True,manager-provided,,Reusable customer-facing or Ivanti wording rather than a staff rule or procedure.,Documents & Uploads
procedure-63,When the Case number / Division or County changes:,Quick message,True,manager-provided,,Reusable customer-facing or Ivanti wording rather than a staff rule or procedure.,Cases & Docket
procedure-64,Requests for Refunds- from the Portal,Quick message,True,review-pending,review-pending; financial,Reusable customer-facing or Ivanti wording rather than a staff rule or procedure.,Payments & Fees
procedure-65,Requests for Refunds- from The Clerk of the Courts,Quick message,True,review-pending,review-pending; financial,Reusable customer-facing or Ivanti wording rather than a staff rule or procedure.,Payments & Fees
procedure-66,"When a filing gets accepted, but the fee was not paid",Known issue,True,review-pending,review-pending; financial,"Symptom-specific error, defect, or workaround that must be verified before association.",Payments & Fees
procedure-67,Summonses- -The process of Filing and Serving,Reference note,True,manager-provided,,"Explanatory facts, limits, definitions, or background information rather than a workflow.",Cases & Docket
procedure-68,When documents change while viewing / correcting in the documents area,Troubleshooting,True,manager-provided,,Diagnostic or remediation steps for a technical symptom.,Documents & Uploads
procedure-69,Paying for & Filing Bonds,Reference note,True,manager-provided,,"Explanatory facts, limits, definitions, or background information rather than a workflow.",Payments & Fees
procedure-70,"Filings “stuck” in Pending, Transmitted, Validating, Send to Local",Known issue,False,manager-provided,duplicate,Merged into the existing stuck-status Known Issue card; it is not a customer quick message.,Technical Troubleshooting
procedure-71,5-day vs 20-day summons on Miami Evictions: doc type not available,County note,True,county-specific,county-specific; current-confirmation,County-specific behavior or filing note that requires current confirmation.,Cases & Docket
procedure-72,Organization Portal Administrator Videos,Reference note,False,review-pending,sensitive; security-review; changeable; review-pending,Contains credential-sharing directions and changeable organization-admin behavior. Requires security and manager review.,Accounts & Registration
procedure-73,How to add an attorney to an organization account,Quick message,True,manager-provided,,Reusable customer-facing or Ivanti wording rather than a staff rule or procedure.,Accounts & Registration
procedure-74,Changing Organizations,Quick message,True,manager-provided,,Reusable customer-facing or Ivanti wording rather than a staff rule or procedure.,Accounts & Registration
procedure-76,Delivery / copy of filings,Quick message,True,manager-provided,,Reusable customer-facing or Ivanti wording rather than a staff rule or procedure.,Filing Workflow
procedure-77,Adding additional Parties to an already filed case,Quick message,True,manager-provided,,Reusable customer-facing or Ivanti wording rather than a staff rule or procedure.,Filing Workflow
procedure-78,Notes: How to create a Master Ticket,Job procedure,True,internal-note,,Internal action sequence used to complete or route Portal Support work.,Escalation & Internal Workflow
procedure-79,No Submit button or Submit button grayed out.,Known issue,False,manager-provided,mixed; legal-boundary,"Title describes a missing Submit button, but the body is mostly confidential/sealed-case procedural guidance and form-selection questions. Mixed and outside the intended technical scope.",Technical Troubleshooting
procedure-81,How docket and its filings access and eService works.,Reference note,True,manager-provided,,"Explanatory facts, limits, definitions, or background information rather than a workflow.",eService & Email
procedure-82,How do I find a receipt for filing fees done in the last 90 days?,Quick message,False,manager-provided,mixed; duplicate,"Combines receipt lookup, certified-copy requests, and filing-field guidance. Procedure-141 is retained as the focused receipt message.",Payments & Fees
procedure-83,Writ of Ex Parte-,Quick message,False,manager-provided,legal-boundary,Provides substantive filing/form direction for an involuntary-examination matter. Requires Clerk/legal-boundary review.,Filing Workflow
procedure-84,Law Enforcement- ability to receive/download,Job procedure,False,manager-provided,incomplete; missing-image,Incomplete instruction that depends on a missing screenshot showing the Security Role.,Filing Workflow
procedure-85,Form/Filing is accepted but the fee was not paid (Summons & other Fees),Quick message,True,review-pending,review-pending; financial,Reusable customer-facing or Ivanti wording rather than a staff rule or procedure.,Payments & Fees
procedure-86,Filed On Behalf of:,Reference note,True,manager-provided,,"Explanatory facts, limits, definitions, or background information rather than a workflow.",Cases & Docket
procedure-87,On the Case Parties/Roles set up:,Quick message,True,manager-provided,,Reusable customer-facing or Ivanti wording rather than a staff rule or procedure.,Filing Workflow
procedure-88,Where fees populate / appear:,Reference note,True,manager-provided,,"Explanatory facts, limits, definitions, or background information rather than a workflow.",Payments & Fees
procedure-89,Subscribe - Unsubscribed definitions/explanation,Reference note,False,review-pending,mixed; dated; review-pending,Combines useful subscription definitions with a dated appellate summons/payment note. Needs splitting.,eService & Email
procedure-91,Indigent Application,Quick message,False,review-pending,legal-boundary; review-pending,States indigency and fee consequences that require current Clerk/procedural confirmation.,Filing Workflow
procedure-92,Bookmarks being stripped from Index Filings,Known issue,False,manager-provided,external-tool; chat-transcript; review-pending,Contains a chat transcript and recommends an unapproved third-party conversion site. Needs sanitization and current technical approval.,Documents & Uploads
procedure-93,Transcribing tickets:,Job procedure,True,internal-note,,Internal action sequence used to complete or route Portal Support work.,Escalation & Internal Workflow
procedure-95,Broward,County note,False,county-specific,county-specific; mixed; current-confirmation,"Combines multiple unrelated Broward topics, contact details, certified-copy guidance, case-number behavior, and filing-type notes.",Filing Workflow
procedure-96,"Zoom information, request or to appear telephonically",Quick message,True,manager-provided,,Reusable customer-facing or Ivanti wording rather than a staff rule or procedure.,Documents & Uploads
procedure-97,Court Monitor- registrations,Job procedure,True,manager-provided,,Internal action sequence used to complete or route Portal Support work.,Accounts & Registration
procedure-98,E-filing portal accounts,Reference note,True,review-pending,review-pending; account-ownership,"Explanatory facts, limits, definitions, or background information rather than a workflow.",Accounts & Registration
procedure-99,How to remove / change cases status from My Cases,Quick message,True,manager-provided,,Reusable customer-facing or Ivanti wording rather than a staff rule or procedure.,Cases & Docket
procedure-100,Exceeds the 8.5x11 page size requirements (resize),Troubleshooting,True,manager-provided,,Diagnostic or remediation steps for a technical symptom.,Documents & Uploads
procedure-101,Notice of Related cases Form,Quick message,False,manager-provided,legal-boundary; form-selection,Directs how to complete a court form. This is form/procedural guidance outside the narrow Portal-support role unless expressly approved.,Filing Workflow
procedure-102,When asked about ADA Compliance:,Quick message,True,manager-provided,legal-boundary; accessibility,Reusable customer-facing or Ivanti wording rather than a staff rule or procedure.,Filing Workflow
procedure-103,Unable to add a case party when filing to an existing case,Quick message,False,review-pending,mixed; duplicate; internal-routing; review-pending,Combines customer-facing party-selection language with an internal Analyst escalation memo. Procedure-134 is retained as the focused message.,Cases & Docket
procedure-104,Exemption from e-service:,Quick message,True,manager-provided,legal-boundary; external-rule,Reusable customer-facing or Ivanti wording rather than a staff rule or procedure.,eService & Email
procedure-105,PDF Validation / Identifier,Troubleshooting,True,manager-provided,external-tool; review-pending,Diagnostic or remediation steps for a technical symptom.,Documents & Uploads
procedure-106,"PDF file has corrupt. deleted, missing, or stacked verbiage",Troubleshooting,True,manager-provided,,Diagnostic or remediation steps for a technical symptom.,Documents & Uploads
procedure-107,Broward Court Divisions,County note,True,county-specific,county-specific; current-confirmation,County-specific behavior or filing note that requires current confirmation.,Filing Workflow
procedure-109,Status of Filing,Quick message,True,manager-provided,,Reusable customer-facing or Ivanti wording rather than a staff rule or procedure.,Filing Workflow
procedure-110,Character lengths for inputting information:,Reference note,True,manager-provided,,"Explanatory facts, limits, definitions, or background information rather than a workflow.",Documents & Uploads
procedure-111,Endpoint errors:,Known issue,True,review-pending,review-pending; county-dependency,"Symptom-specific error, defect, or workaround that must be verified before association.",Technical Troubleshooting
procedure-112,Unable to click on and preview the file they just uploaded:,Troubleshooting,True,manager-provided,,Diagnostic or remediation steps for a technical symptom.,Documents & Uploads
procedure-113,OCRS viewing/ VOR VOD issues,Quick message,True,manager-provided,,Reusable customer-facing or Ivanti wording rather than a staff rule or procedure.,Filing Workflow
procedure-114,Proposed Order word doc issues,Known issue,True,manager-provided,review-pending; tentative-workaround,"Symptom-specific error, defect, or workaround that must be verified before association.",Filing Workflow
procedure-116,Filing has the number 1 in weird places,Known issue,False,manager-provided,contains-identifiers; incident-specific; sensitive,"Contains individual names, a phone number, and a specific incident number. It must be sanitized before any active use.",Filing Workflow
procedure-118,VOR or VOD requests,Quick message,True,manager-provided,,Reusable customer-facing or Ivanti wording rather than a staff rule or procedure.,Filing Workflow
procedure-119,Accessing a case from My Cases to file to the existing case,Quick message,True,manager-provided,,Reusable customer-facing or Ivanti wording rather than a staff rule or procedure.,Cases & Docket
procedure-120,Authorized House Counsel,Reference note,True,manager-provided,role-classification; current-confirmation,"Explanatory facts, limits, definitions, or background information rather than a workflow.",Filing Workflow
procedure-121,Locked accounts,Job procedure,False,review-pending,internal-sql; known-bug; dated; review-pending,"Contains an internal SQL command, a known bug, and a dated release expectation. Requires current manager/IT confirmation.",Accounts & Registration
procedure-123,Brevard:,County note,True,county-specific,county-specific; current-confirmation,County-specific behavior or filing note that requires current confirmation.,Filing Workflow
procedure-124,Broward:,Known issue,True,county-specific,county-specific; known-issue; current-confirmation,"Symptom-specific error, defect, or workaround that must be verified before association.",Filing Workflow
procedure-125,Manatee:,County note,True,county-specific,county-specific; current-confirmation,County-specific behavior or filing note that requires current confirmation.,Filing Workflow
procedure-126,Miami:,County note,True,county-specific,county-specific; current-confirmation,County-specific behavior or filing note that requires current confirmation.,Filing Workflow
procedure-127,Adding case party to existing- Miami,County note,True,county-specific,county-specific; current-confirmation,County-specific behavior or filing note that requires current confirmation.,Cases & Docket
procedure-128,Summons,County note,False,manager-provided,county-specific; dated; legal-boundary; mixed,"Large collection of dated Miami-Dade filing rules, external links, fee statements, and substantive procedural directions. Requires county-by-county review and splitting.",Cases & Docket
procedure-129,Volusia:,County note,True,county-specific,county-specific; current-confirmation,County-specific behavior or filing note that requires current confirmation.,Filing Workflow
procedure-130,Lis Pendens:,County note,False,manager-provided,county-specific; uncertain; financial,Contains uncertain language (“I believe”) about a county fee. Not suitable for active guidance.,Filing Workflow
procedure-131,Vexatious Litigants:,Job procedure,False,manager-provided,mixed; internal-action,Combines a valid internal case-restriction workflow with an unrelated oversized-filing referral. Needs splitting.,Filing Workflow
procedure-132,Multiple Tickets:,Quick message,True,manager-provided,,Reusable customer-facing or Ivanti wording rather than a staff rule or procedure.,Escalation & Internal Workflow
procedure-133,TPV: Third Party Vendor information,Job procedure,True,manager-provided,,Internal action sequence used to complete or route Portal Support work.,Documents & Uploads
procedure-134,Specific case party is not available in list to choose on “Filed On Behalf-Of”,Quick message,True,manager-provided,,Reusable customer-facing or Ivanti wording rather than a staff rule or procedure.,Cases & Docket
procedure-135,100-character limit error message:,Troubleshooting,True,manager-provided,,Diagnostic or remediation steps for a technical symptom.,Filing Workflow
procedure-136,Document Sizes:,Reference note,True,manager-provided,changeable technical limits,"Explanatory facts, limits, definitions, or background information rather than a workflow.",Documents & Uploads
procedure-137,TPV- Third Paty Vendor,Reference note,True,manager-provided,,"Explanatory facts, limits, definitions, or background information rather than a workflow.",Filing Workflow
procedure-138,CCIS: Automatic deactivation of their accounts:,Job procedure,False,manager-provided,dated; internal-names,Dated CCIS deactivation rollout schedule and internal names; the dates may already be obsolete.,Accounts & Registration
procedure-140,How to enter an appeals case number in the “edit service list” option for removal:,Job procedure,False,manager-provided,mixed; changeable-ui,Combines an eService removal procedure with unrelated instructions for reverting the website layout. Needs splitting.,eService & Email
procedure-141,I need the receipt for filings:,Quick message,True,review-pending,review-pending; financial,Reusable customer-facing or Ivanti wording rather than a staff rule or procedure.,Payments & Fees
