collection,id,audience,status,original_title,polished_title,original_text,polished_text
Curated Quick Message,qr-127-132,Customer,review-pending,Bilingual translator call introduction,Bilingual Spanish-assistance call introduction,"Hello,
My name is Deborah. I am calling from the Florida Courts e-filing website.
Will you need a translator for this conversation? If yes, I will turn your call over to a Spanish speaker, who will call you back for information.
Hola,
Mi nombre es Débora. Llamo desde el sitio web de presentación electrónica de los Tribunales de Florida.
¿Necesitarás un traductor para esta conversación? En caso afirmativo, le pasaré la llamada a un hablante de español, quien le devolverá la llamada para solicitar información.","Hello, my name is [analyst name], and I am calling from the Florida Courts E-Filing Portal Help Desk. Do you need assistance in Spanish for this call? If so, a Spanish-speaking member of our team will contact you to collect the information needed.

Hola, mi nombre es [nombre del analista] y llamo del servicio de asistencia del Portal de Presentación Electrónica de los Tribunales de Florida. ¿Necesita asistencia en español para esta llamada? De ser así, un integrante de nuestro equipo que habla español se comunicará con usted para recopilar la información necesaria."
Curated Quick Message,qr-134-135,Internal,internal-note,Spanish-speaker task note,Spanish-language follow-up assigned,"task for Cat's team
need information to be gathered by Spanish speaking personnel",Assigned the request for Spanish-language follow-up and information gathering.
Curated Quick Message,qr-138-141,Customer,review-pending,Auto-checked eService filer,Filer automatically selected for eService,"Emailed the explanation of the new eService protocol in place for auto checking filer for service.
The e-filing portal has made a new change that now affects the eService list.
The protocol now is that the portal will automatically check you, the filer from the service list for filings being submitted via the eportal website MyFLCourtAccess.com
This is now a mandatory requirement with no option to opt out.","The Portal automatically selects the filer for eService when a filing is submitted through MyFLCourtAccess.com. Under the current process, this selection is mandatory and cannot be cleared.

Confirm that this behavior is still current before sending."
Manager-source Quick Message,procedure-1,Customer,review-pending,Registration for E-Filing Portal Website Access,Portal registration instructions — English and Spanish,"Please do not register from a phone or tablet- it may affect functionality.
Please type the website address: myflcourtaccess.com
Create an Account:
To begin the account creation process, click on either E-Filing Portal in the menu bar or Log in now!
That will take you to the welcome page to the Portal.
Select your filer role from the drop down and click on the Register button.
If you are not an attorney and will be representing yourself: Self-Represented Litigant
**Note: If you are an out of state attorney without a Florida Bar number, please visit: FloridaBar.org on Pro Hac Vice rules and regulations.
Fill out all of the information required.
Be careful to look at the instructions for choosing a username/password:
Your password must be between 6-16 characters.
Do NOT use hyphens, underscores, nor &^%*() +.
Make sure to scroll down and click on the register button.
Once you have registered, scroll up to the upper right corner and Click on the Sign Out hyperlink.
If you skip this step, you may have an issue logging back in.
Then sign back in using your information.
You may receive an email to verify you have completed the process. Check your junk/spam if not in your inbox.
Registro para acceder al sitio web del portalhill de presentación electrónica
Por favor escriba la dirección del sitio web: myflcourtaccess.com
Crear una cuenta:
Para comenzar el proceso de creación de cuenta, haga clic en Portal de presentación electrónica en la barra de menú o ¡Inicie sesión ahora!
Eso lo llevará a la página de bienvenida del Portal.
1. Seleccione su rol de declarante en el menú desplegable y haga clic en el botón Registrarse.
2. Si no es abogado y se representará a sí mismo: Litigante autorepresentado
**Nota: Si es un abogado de otro estado y no tiene un número de Colegio de Abogados de Florida, visite: FloridaBar.org en Pro Hac Vice.
Complete toda la información requerida.
Tenga cuidado de leer las instrucciones para elegir un nombre de usuario/contraseña:
Su contraseña debe tener entre 6 y 16 caracteres.
Sin guiones ni guiones bajos, sin &^%*()
Asegúrese de desplazarse hacia abajo y hacer clic en el botón de registro.
Una vez que se haya registrado, desplácese hasta la esquina superior derecha y haga clic en el hipervínculo Cerrar sesión.
Revisa tu correo electrónico para completar el proceso.
Complete your registration You will receive a follow-up email that contains a link to activate your account. This email will be sent to the email address that you have registered with The Florida Bar. You must be able to access that account and know the answer to your security question to activate your account. You will receive the account activation email you have registered with The Florida Bar.
Please activate your account within 72 hours or it will be deleted from the portal, and you will have to repeat the step to register.","Before registering, use a desktop or laptop and type https://www.myflcourtaccess.com directly into the browser address bar.

English
1. Select E-Filing Portal or Log in now.
2. Select the correct filer role, then choose Register.
3. A person filing without an attorney should select the applicable self-represented role. An out-of-state attorney should review the current Pro Hac Vice requirements with The Florida Bar before registering.
4. Complete every required field and follow the current username and password rules displayed on the registration page.
5. Submit the registration, select Sign Out, and then sign in again.
6. Check the registered email address, including Junk or Spam, for any required verification or activation message. Complete activation within the timeframe stated in that message.
7. For attorney registrations, confirm that the email address matches the current Florida Bar record when required by the manager procedure.

Español
1. Seleccione E-Filing Portal o Log in now.
2. Seleccione el rol correcto y luego elija Register.
3. Una persona que presenta documentos sin abogado debe seleccionar el rol correspondiente de litigante autorepresentado. Un abogado de otro estado debe revisar primero los requisitos vigentes de Pro Hac Vice con The Florida Bar.
4. Complete todos los campos obligatorios y siga las reglas actuales de nombre de usuario y contraseña que aparecen en la página.
5. Envíe el registro, seleccione Sign Out y vuelva a iniciar sesión.
6. Revise la dirección de correo registrada, incluso las carpetas de correo no deseado, para cualquier mensaje de verificación o activación. Complete la activación dentro del plazo indicado en el mensaje.

Review the current registration rules before sending; the source contains changeable account requirements."
Manager-source Quick Message,procedure-2,Customer,manager-provided,Funky Username – (Probably corrupted from their browser?),Username appears corrupted,"It looks like your username needs to be reset. Right now, it reads: ******
I can change it back to what it was before if you remember it. Keep in mind that you cannot exceeuse special characters.
Otherwise, I show the account is active.","The username displayed on the account appears to be malformed. Please confirm the username you previously used.

After the account holder is verified, Portal Support can follow the current manager-approved procedure to restore or correct the username. The account currently appears active."
Manager-source Quick Message,procedure-3,Customer,manager-provided,Roles that cannot initiate a filing in the Portal,Filer role cannot initiate a new case,"Based on your filer role as a ""Process Server"", you cannot initiate cases.
You can create a self-representative litigant account in order to file this type of case.","The current filer role, Process Server, cannot initiate a new case through the Portal.

If you are filing on your own behalf, a separate Self-Represented Litigant account may be required. Confirm the appropriate filer-role and account requirements before registering."
Manager-source Quick Message,procedure-5,Customer,manager-provided,Profile Changes,Update Portal profile information,"To update the information on your e-filing portal account profile: (including email address)
1. Log into your account on the website MyFLCourtAccess.com
2. Go to the MY ACCOUNT dropdown
3. Click on MY PROFILE
4. Click on the USER DETAILS tab
5. Make any changes needed
6. Scroll to the bottom and click on UPDATE
7. Please make sure to scroll to the top of the webpage and click SIGN OUT.
If you don’t follow those steps, it may not keep your changes.
Please be advised that making changes to your profile does NOT update the emails on the e-service list for any cases filed previously, nor does it update any information to the Clerk of the Courts.
It is your responsibility to contact that county and or go to your account on all their websites you have an account with to update your information.
If you want to update or remove your email from cases, you can use the eService Maintenance instructions attached to update, and the removal instructions attached for removal.
If you are listed on the service list with one of these icons (in black), you will not be able to remove yourself from the list and will need to email: support@myflcourtaccess.com with the following information: if multiple cases, please enter the information in an excel spreadsheet and attach to the email request:","To update information in the Portal profile:

1. Sign in at MyFLCourtAccess.com.
2. Open My Account.
3. Select My Profile.
4. Open the User Details tab.
5. Make the required changes.
6. Select Update at the bottom of the page.
7. Select Sign Out at the top of the page, then sign in again to confirm the change.

Updating the Portal profile does not update the official court record or previously created eService lists. Contact the applicable Clerk of Court about changes to the case record. Use the current eService Maintenance or removal procedure for service-list changes.

If an icon prevents removal from an eService list, submit a Help Desk request with the case number and county. For multiple cases, provide the information in the approved spreadsheet format."
Manager-source Quick Message,procedure-6,Customer,manager-provided,"I filed, what are my next steps?",What happens after a filing is submitted,"The E-filing Portal help desk, support@myflcourtaccess.com only provides Navigational / Technical Support for the website MyFLCourtAccess.com for the submission (uploading) of documentation that you have ready to file to create a case, or to an existing case.
We do not provide Clerk of Courts procedural information, nor are we able to advise or provide you with the form(s) needed to be filed or where to find them.
We cannot advise on what the steps are or case status.
I would suggest going to the Clerk of the Courts website to read everything you can on the rules and procedures for your case type.","Portal Support provides technical and navigational assistance for MyFLCourtAccess.com, including submitting prepared documents for a new or existing case.

Portal Support cannot provide court procedure, select forms, explain the legal next step, or give the official case status. For those questions, contact the applicable Clerk of Court or review the Clerk's current website instructions."
Manager-source Quick Message,procedure-8,Customer,manager-provided,Documents not showing on the docket,Documents have not appeared on the docket,"Unfortunately, we are not the party responsible for uploading filed information to the docket.
This is an action completed by the Clerk of the Courts system.
The e-filing portal sends the documents you upload to the clerk.
The clerk then processed through their case management system, then dockets the forms you submitted to the docket.
Please contact the Clerk of the Courts office in the county the case is filed in to ask
if something is wrong with the docket or prohibiting documents from showing on the case.","The E-Filing Portal transmits submitted documents to the applicable Clerk of Court. The Clerk then processes the filing through its case-management system and controls when documents appear on the official docket.

If the Portal shows that the filing was accepted but the documents are not on the docket, contact the Clerk in the county where the case is filed and ask about the docket status."
Manager-source Quick Message,procedure-10,Customer,manager-provided,Can I file my case on the website?,Can this matter be filed through the Portal?,"Thank you for contacting the MyFLCourtAccess.com website Help Desk.
Support for the website MyFLCourtAccess.com is limited to only providing navigational & technical guidance for the purpose of filing documentation that you have ready to file to create a case, or file to an existing case.
For any questions outside of navigating the website to file documentation, please contact your Clerk of the Courts office.
Please be advised that the E-Filing portal website MyFLCourtAccess.com is not the Clerk of the Court or the District Court of Appeals.
Instructions are not exact, and we are unable to tell you exactly which drop downs or forms are needed to file, as we are limited by legal restrictions and cannot offer legal advice.
1. What type of case are you filing?
a. Circuit Civil
b. County Civil (Small Claims under $8,000) (types less than $50,000) (Eviction)
c. Domestic Relation/Family
d. Probate
e. Juvenile Dependency
f. Adoption
g. Domestic Violence / Stalking / Cyber Bullying
2. What County are you filing in?
Some counties will have different requirements, procedures, and forms.
3. What forms are needed?
Please visit the Clerk of the Court’s website for the county you are filing your case in for information on procedures, forms that are required to be filed, and to determine the Division, Case Type, and Sub Type you will need to file under.
Most cases in Circuit or County Civil courts will require a “Complaint” or “Statement of Claim” form.
Most cases in Family/Domestic Relations, a Petition is to be the first document you upload, followed by others that may be required.
Probate: varies. Check with the Clerk's website to determine what is needed.
Once you have the forms needed to file, you can use the below for guidance.
El servicio de asistencia del portal de presentación electrónica, support@myflcourtaccess.com, solo ofrece asistencia técnica y de navegación para el sitio web MyFLCourtAccess.com
para el envío (carga) de la documentación que esté listo para presentar para crear un caso o para un caso existente.
No proporcionamos información sobre el procedimiento del caso, ni podemos asesorarlo, ni proporcionamos los formularios necesarios para presentar ni dónde encontrarlos.
Las instrucciones no son exactas debido a que la ley nos limita a lo que podemos aconsejar.
No podemos indicarle exactamente qué menús desplegables o formularios necesita para presentar, ya que no podemos ofrecerle asesoramiento legal.
1. ¿Qué tipo de caso está presentando?
a. Civil de Circuito
b. Civil de Condado (Reclamaciones Menores de menos de $8,000) (tipos menores de $50,000) (Desalojo)
c. Relaciones Domésticas/Familiares
d. Sucesiones
e. Dependencia Juvenil
f. Adopción
g. Violencia Doméstica
2. ¿En qué condado está presentando su caso?
Algunos condados tienen diferentes requisitos, procedimientos y formularios.
3. ¿Qué formularios se necesitan?
Visite el sitio web de la Secretaría del Tribunal correspondiente al condado donde presente su caso para obtener información sobre los procedimientos, los formularios necesarios y determinar la División, el Tipo de Caso y el Subtipo bajo el que deberá presentarlo.
La mayoría de los casos en los tribunales civiles de circuito o de condado requieren un formulario de ""Demanda"" o ""Declaración de Demanda"".
En la mayoría de los casos de Relaciones Familiares/Domésticas, el primer documento que debe presentar es una Petición, seguida de otros que puedan requerirse.
Sucesiones: varía. Consulte el sitio web de la Secretaría para determinar qué se necesita.
Tenga en cuenta que el portal de presentación electrónica MyFLCourtAccess.com no representa a la Secretaría del Tribunal ni al Tribunal de Apelaciones del Distrito.","Thank you for contacting the MyFLCourtAccess.com Help Desk.

Portal Support can provide technical and navigational guidance for submitting documents that are ready to file. We cannot determine the correct division, case type, subtype, form, fee, or legal filing choice.

Before beginning, please confirm the following with the applicable Clerk of Court:
• Whether the matter may be filed electronically
• County and division
• Case type and subtype
• Required forms and filing fees
• Any county-specific procedure

After those items are confirmed, Portal Support can provide the appropriate instructions for filing a new case or submitting to an existing case.

Español
El servicio de asistencia de MyFLCourtAccess.com puede proporcionar orientación técnica y de navegación para presentar documentos que ya estén listos. No podemos determinar la división, el tipo o subtipo de caso, el formulario, la tarifa ni la decisión legal correcta.

Antes de comenzar, confirme esos requisitos con la Secretaría del Tribunal correspondiente. Después de confirmarlos, podemos proporcionar las instrucciones del Portal para un caso nuevo o existente."
Manager-source Quick Message,procedure-11,Customer,manager-provided,Pro Hac Vice- Register & Filing,Pro Hac Vice registration and Portal access,"The best place to start is the FloridaBar.org website to see what the PHV procedure is for obtaining a PHV FL Bar number.
To register and file as a PHV on the MyFLCourtAccess.com website, you must have been issued a Florida Bar number.
Once you have the bar # you can then register on our website 48-72 hours after the bar number being issued. If you try to register before that, your registration may be rejected because it is not yet in the system to file to cases
The County Clerk may require you to pay a $100 PHV fee.
New Attorney to case/ PHV / NOT showing up in My Cases
An attorney will not be able to access or view any case dockets on the Florida Courts E-Filing portal that they are not the Attorney of Record for AND if they have not filed electronically to the case through the website.
Cases are not automatically added to your My Cases, nor are you automatically added to the service list. You must file to the case.
Once you submit the filing and the Clerk has moved the filing from Pending to Filed, it will then show up under your ""My Cases"".
If you are a Pro Hac Vice attorney, being admitted to the case does not automatically allow you to access the case docket through the e-filing portal.
If you are not going to be the attorney of record, and you are not filing to the case, please contact the Florida attorney you are working with and ask for them to add you to the service list on the next filing.
When filings are done after that point, and the filer checks your box (it is up to the filer to decide whether to check you for service because it is not done automatically to everyone on the service list) you will get an email with a copy of what has been filed to that case.
Warning, if you leave the email untouched, or it ends up in your spam for more than 14 days, you can no longer access the documents from the email. We usually tell eService recipients to open and download the filings immediately so that doesn't happen.","Begin with The Florida Bar to confirm the current Pro Hac Vice requirements and obtain the required Florida Bar number.

After the number is issued:
1. Allow the current synchronization period before registering with MyFLCourtAccess.com. The manager source states 48–72 hours; confirm the current timeframe.
2. Register using the issued Bar number.
3. Confirm any county-required Pro Hac Vice fee directly with the applicable Clerk.
4. A case generally appears in My Cases after the attorney files through the Portal and the Clerk accepts the filing.
5. Admission to a case does not by itself guarantee Portal docket access. If the attorney will not be filing, ask the Florida attorney of record about adding the Pro Hac Vice attorney to the eService list.
6. Download eServed documents promptly. The source states that service links are available for 14 days; confirm the current retention period."
